Player,Offense,Defense,GP,Name,Squad,Viable
"Eckle Merasska",1,0,95060,Wiggs,"Wedge Biggs zHan zEzra zLeia",1
"Eckle Merasska",1,1,112345,zEP,"zzEP zzzVader zzTarkin zDooku TFP G8",1
"Eckle Merasska",0,1,98514,Phoenix,"zHera zKanan zSabine zZeb Chopper",1
"Eckle Merasska",0,1,102770,BS,"zBS G9, zzGMY zzHYoda zGK Ahsoka G9",1
"Eckle Merasska",,,219281,Negotiator,"Negotiator 5* HT 5* Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter 3*, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",0
"Eckle Merasska",1,1,77959,NS,"MT 6* G6, zzAV zDaka Zombie G4, Spirit G8",0
"Eckle Merasska",0,1,68914,Grievous,"zGG B2 6* G3, MagnaGuard G3, Nute G5, zIG-88",0
"Eckle Merasska",1,0,72977,Rex (Counter),"Rex G4, Wampa G4, Chirrut G8, Baze G8, zzR2-D2",0
"Eckle Merasska",1,0,50116,Troopers,"Veers 6* G4, Starck G5, Stormtrooper G4, Magma G2, Snowtrooper G8",0
"Eckle Merasska",0,1,88770,FO,"KRU G8, zKylo zPhasma FOO zFOTP",0
"Eckle Merasska",1,0,67312,Jawas,"Nebit G6, Jawa Engineer G7, Jawa Scavenger G8, Jawa G7, Dathcha",0
"Reaper of Rhodium",0,1,68379,Phoenix,"Hera G9, Kanan G8, Sabine G9, Zeb G8, Ezra G8",1
"Eltiko",0,1,62602,Phoenix,"Hera G8, Kanan G8, Zeb G8, Chopper G8, Ezra G9",1
"Toadmushe",1,1,114225,Revan Offense,"zzzJKR zzGMY zBS zJolee Ezra",1
"Toadmushe",1,1,86439,Ewoks,"zChirpa Elder zPaploo Teebo G9, zWicket",1
"Toadmushe",1,1,97291,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Toadmushe",0,1,105469,BH,"zzJango Cad zzBossk zGreedo G9, zBoba",1
"Toadmushe",1,0,104112,Wiggs,"Wedge Biggs zzzCLS zHan zLeia",1
"Toadmushe",1,0,87653,Rex (Counter),"zRex DN G8, Chirrut Baze zR2-D2",1
"Toadmushe",0,1,80339,Phoenix,"zHera zKanan G8, Sabine G8, zZeb Chopper G7",0
"Toadmushe",1,0,64485,QGJ,"QGJ G7, Aayla G2, JKA Old Ben G9, Ahsoka G8",0
"Toadmushe",0,1,63957,FO,"KRU G8, Kylo 6* G8, zPhasma G8, FOO G8, FOE G7",0
"Toadmushe",1,0,9331,SionSolo (Counter),"Sion 5* G6",0
"Iglooz R Cool",0,1,97235,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Iglooz R Cool",0,1,102691,BH,"zzBossk zBoba zJango zIG-88 G8, zDengar G9",1
"Iglooz R Cool",1,0,96638,Troopers,"zVeers zStarck zDT Range Trooper, Shoretrooper",1
